dataset,dataset_name,context_length,method,method_name,n,primary_metric,primary_score_mean,primary_score_std,accuracy_mean,f1_mean,rouge_l_mean,tracked_gb_mean,budget_gb_mean,peak_vram_gb_mean,n_kept_kv_mean,n_skeleton_mean,n_refresh_mean,n_dropped_mean
longeval_lines,LongEval-Lines,32768,pyramidkv_lite,PyramidKV-lite,50,accuracy,0.78,0.4142463035441596,0.78,0.78,0.0,0.27129724928,0.27129806827999997,58.28621395111084,4139.48,0.0,0.0,28109.0
longeval_lines,LongEval-Lines,32768,quest_lite,Quest-lite,50,accuracy,1.0,0.0,1.0,1.0,0.0,0.27003977727999995,0.27129806827999997,58.28621395111084,4120.48,0.0,0.0,28128.0
longeval_lines,LongEval-Lines,32768,sagekv_lite,SAGE-KV-lite,50,accuracy,1.0,0.0,1.0,1.0,0.0,0.27128496127999996,0.27129806827999997,58.28621395111084,4139.48,0.0,0.0,28109.0
longeval_lines,LongEval-Lines,32768,snapkv,SnapKV,50,accuracy,1.0,0.0,1.0,1.0,0.0,0.27128496127999996,0.27129806827999997,58.286334114074705,4139.48,0.0,0.0,28109.0
longeval_lines,LongEval-Lines,32768,streamingllm,StreamingLLM,50,accuracy,0.0,0.0,0.0,0.0,0.0,0.27128496127999996,0.27129806827999997,58.29039812088013,4139.48,0.0,0.0,28109.0
needle,Needle,32768,budgeted_recent_kv,Budgeted Recent KV,50,accuracy,0.08,0.2712931993250107,0.08,0.24333333333333335,0.0,0.25171591168,0.25174212568,59.385451850891116,3840.88,0.0,0.0,28570.0
needle,Needle,32768,budgeted_uniform_kv,Budgeted Uniform KV,50,accuracy,0.04,0.19595917942265423,0.04,0.19066666666666668,0.0,0.25171591168,0.25174212568,59.38547592163086,3840.88,0.0,0.0,28570.0
needle,Needle,32768,duoattention,DuoAttention,50,accuracy,0.0,0.0,0.0,0.13,0.0,0.25171591168,0.25174212568,58.33184869766235,3840.88,0.0,0.0,28570.0
needle,Needle,32768,full_kv,Full KV,50,accuracy,1.0,0.0,1.0,0.9266666666666666,0.0,2.1240794316800002,0.0,59.38545137405396,0.0,0.0,0.0,0.0
needle,Needle,32768,h2o,H2O,50,accuracy,0.78,0.4142463035441596,0.78,0.7366666666666667,0.0,0.25171591168,0.25174212568,62.40884735107422,3840.88,0.0,0.0,28570.0
needle,Needle,32768,hmo_full,HMO,50,accuracy,1.0,0.0,1.0,0.9266666666666666,0.0,0.25171591168,0.25174212568,59.73733070373535,2.0,61.0,1.0,0.0
needle,Needle,32768,pyramidkv_lite,PyramidKV-lite,50,accuracy,0.98,0.13999999999999999,0.98,0.9533333333333334,0.0,0.25174048768,0.25174212568,59.385451850891116,3840.88,0.0,0.0,28570.0
needle,Needle,32768,quest_lite,Quest-lite,50,accuracy,1.0,0.0,1.0,0.9266666666666666,0.0,0.24943263744,0.25174212568,59.385451850891116,3806.04,0.0,0.0,28604.84
needle,Needle,32768,sagekv_lite,SAGE-KV-lite,50,accuracy,1.0,0.0,1.0,0.94,0.0,0.25171591168,0.25174212568,59.385487957000734,3840.88,0.0,0.0,28570.0
needle,Needle,32768,snapkv,SnapKV,50,accuracy,1.0,0.0,1.0,0.9266666666666666,0.0,0.25171591168,0.25174212568,59.3855729675293,3840.88,0.0,0.0,28570.0
needle,Needle,32768,streamingllm,StreamingLLM,50,accuracy,0.08,0.2712931993250107,0.08,0.25333333333333335,0.0,0.25171591168,0.25174212568,58.33184869766235,3840.88,0.0,0.0,28570.0
